Electricity prices from New England market from period 2004 to 2008.
Data reported by ISO New England (http://www.iso-ne.com)
Frequency: Hourly
Date,Hour,DA_EC,DA_CC,DA_MLC,RT_LMP
,,$/MW,$/MW,$/MW,$/MW
2004-01-01,0,40.09,0.00,0.78,31.78
2004-01-01,1,38.22,0.00,0.75,37.37
2004-01-01,2,35.23,0.00,0.70,25.65
2004-01-01,3,34.11,0.00,0.68,29.25
2004-01-01,4,34.11,0.00,0.68,26.03
2004-01-01,5,34.70,0.00,0.69,21.61
2004-01-01,6,38.21,0.00,0.76,21.64
2004-01-01,7,39.96,0.00,0.80,20.91
2004-01-01,8,41.29,0.00,0.82,26.00
2004-01-01,9,43.39,0.00,0.87,35.50
2004-01-01,10,45.48,0.00,0.90,41.59
2004-01-01,11,45.28,0.00,0.89,42.59
2004-01-01,12,44.36,0.00,0.87,39.93
2004-01-01,13,43.06,0.00,0.84,29.10
2004-01-01,14,40.78,0.00,0.80,32.40
2004-01-01,15,43.76,0.00,0.86,38.11
2004-01-01,16,58.60,0.00,1.17,58.91
2004-01-01,17,78.91,0.00,1.56,68.83
2004-01-01,18,78.92,0.00,1.55,58.16
2004-01-01,19,60.47,0.00,1.18,54.32
2004-01-01,20,55.98,0.00,1.10,45.26
2004-01-01,21,46.62,0.00,0.91,44.03
2004-01-01,22,40.79,0.00,0.79,29.45
2004-01-01,23,39.93,0.00,0.78,38.52
2004-01-02,0,43.80,0.00,0.82,35.93
2004-01-02,1,40.81,0.00,0.78,25.46
2004-01-02,2,40.60,0.00,0.78,28.51
2004-01-02,3,40.60,0.00,0.78,33.79
2004-01-02,4,40.79,0.00,0.79,25.43
2004-01-02,5,40.60,0.00,0.78,32.59
2004-01-02,6,44.87,0.00,0.84,36.08
2004-01-02,7,52.69,0.00,0.99,48.13
2004-01-02,8,63.85,0.00,1.19,56.19
2004-01-02,9,68.33,0.00,1.27,70.31
2004-01-02,10,64.86,0.00,1.21,61.43
2004-01-02,11,65.18,0.00,1.22,70.53
2004-01-02,12,51.68,0.00,0.96,70.33
2004-01-02,13,49.66,0.17,0.91,52.58
2004-01-02,14,46.80,0.00,0.87,45.42
2004-01-02,15,46.81,0.00,0.87,45.06
2004-01-02,16,68.28,0.00,1.28,59.03
2004-01-02,17,82.76,3.06,1.55,69.76
2004-01-02,18,77.19,2.05,1.46,51.72
2004-01-02,19,72.16,3.51,1.35,50.40
2004-01-02,20,54.58,1.02,1.02,45.89
2004-01-02,21,50.81,0.00,0.94,46.51
2004-01-02,22,44.89,0.00,0.82,44.67
2004-01-02,23,43.81,0.00,0.81,46.55
2004-01-03,0,40.52,0.00,0.73,44.83
2004-01-03,1,39.15,0.00,0.72,33.19
2004-01-03,2,37.64,0.00,0.70,26.99
2004-01-03,3,37.10,0.00,0.69,30.15
2004-01-03,4,36.99,0.00,0.69,23.35
2004-01-03,5,37.53,0.00,0.71,29.28
2004-01-03,6,40.03,0.00,0.73,29.45
2004-01-03,7,40.67,0.00,0.75,25.26
2004-01-03,8,44.97,0.00,0.83,42.48
2004-01-03,9,46.99,0.00,0.87,51.68
2004-01-03,10,48.89,0.00,0.90,49.45
2004-01-03,11,48.22,0.00,0.88,61.42
2004-01-03,12,45.90,0.00,0.84,51.72
2004-01-03,13,45.42,0.00,0.82,47.89
2004-01-03,14,44.25,0.00,0.81,47.25
2004-01-03,15,44.97,0.00,0.83,46.96
2004-01-03,16,60.38,0.00,1.12,65.11
2004-01-03,17,70.86,0.00,1.32,78.02
2004-01-03,18,66.55,0.00,1.22,55.91
2004-01-03,19,56.42,0.00,1.03,47.66
2004-01-03,20,50.28,0.00,0.91,52.46
2004-01-03,21,45.90,0.00,0.82,47.94
2004-01-03,22,43.16,0.00,0.77,33.09
2004-01-03,23,42.38,0.00,0.77,39.62
2004-01-04,0,38.55,0.00,0.68,27.41
2004-01-04,1,34.72,0.00,0.61,29.83
2004-01-04,2,33.31,0.00,0.58,24.10
2004-01-04,3,33.31,0.00,0.58,22.03
2004-01-04,4,32.83,0.00,0.58,21.51
2004-01-04,5,33.41,0.00,0.59,22.50
2004-01-04,6,36.11,0.00,0.65,26.69
2004-01-04,7,39.11,0.00,0.69,28.42
2004-01-04,8,40.49,0.00,0.73,27.14
2004-01-04,9,45.03,0.00,0.81,33.52
2004-01-04,10,45.94,0.00,0.82,46.46
2004-01-04,11,46.42,0.00,0.83,46.96
2004-01-04,12,45.95,0.00,0.81,46.86
2004-01-04,13,44.20,0.00,0.78,47.10
