Date,Hour,DA_EC,DA_CC,DA_MLC,RT_LMP
,,$/MW,$/MW,$/MW,$/MW
1/1/2004,0,40.09,0,0.78,31.78
1/1/2004,1,38.22,0,0.75,37.37
1/1/2004,2,35.23,0,0.7,25.65
1/1/2004,3,34.11,0,0.68,29.25
1/1/2004,4,34.11,0,0.68,26.03
1/1/2004,5,34.7,0,0.69,21.61
1/1/2004,6,38.21,0,0.76,21.64
1/1/2004,7,39.96,0,0.8,20.91
1/1/2004,8,41.29,0,0.82,26
1/1/2004,9,43.39,0,0.87,35.5
1/1/2004,10,45.48,0,0.9,41.59
1/1/2004,11,45.28,0,0.89,42.59
1/1/2004,12,44.36,0,0.87,39.93
1/1/2004,13,43.06,0,0.84,29.1
1/1/2004,14,40.78,0,0.8,32.4
1/1/2004,15,43.76,0,0.86,38.11
1/1/2004,16,58.6,0,1.17,58.91
1/1/2004,17,78.91,0,1.56,68.83
1/1/2004,18,78.92,0,1.55,58.16
1/1/2004,19,60.47,0,1.18,54.32
1/1/2004,20,55.98,0,1.1,45.26
1/1/2004,21,46.62,0,0.91,44.03
1/1/2004,22,40.79,0,0.79,29.45
1/1/2004,23,39.93,0,0.78,38.52
1/2/2004,0,43.8,0,0.82,35.93
1/2/2004,1,40.81,0,0.78,25.46
1/2/2004,2,40.6,0,0.78,28.51
1/2/2004,3,40.6,0,0.78,33.79
1/2/2004,4,40.79,0,0.79,25.43
1/2/2004,5,40.6,0,0.78,32.59
1/2/2004,6,44.87,0,0.84,36.08
1/2/2004,7,52.69,0,0.99,48.13
1/2/2004,8,63.85,0,1.19,56.19
1/2/2004,9,68.33,0,1.27,70.31
1/2/2004,10,64.86,0,1.21,61.43
1/2/2004,11,65.18,0,1.22,70.53
1/2/2004,12,51.68,0,0.96,70.33
1/2/2004,13,49.66,0.17,0.91,52.58
1/2/2004,14,46.8,0,0.87,45.42
1/2/2004,15,46.81,0,0.87,45.06
1/2/2004,16,68.28,0,1.28,59.03
1/2/2004,17,82.76,3.06,1.55,69.76
1/2/2004,18,77.19,2.05,1.46,51.72
1/2/2004,19,72.16,3.51,1.35,50.4
1/2/2004,20,54.58,1.02,1.02,45.89
1/2/2004,21,50.81,0,0.94,46.51
1/2/2004,22,44.89,0,0.82,44.67
1/2/2004,23,43.81,0,0.81,46.55
1/3/2004,0,40.52,0,0.73,44.83
1/3/2004,1,39.15,0,0.72,33.19
1/3/2004,2,37.64,0,0.7,26.99
1/3/2004,3,37.1,0,0.69,30.15
1/3/2004,4,36.99,0,0.69,23.35
1/3/2004,5,37.53,0,0.71,29.28
1/3/2004,6,40.03,0,0.73,29.45
1/3/2004,7,40.67,0,0.75,25.26
1/3/2004,8,44.97,0,0.83,42.48
1/3/2004,9,46.99,0,0.87,51.68
1/3/2004,10,48.89,0,0.9,49.45
1/3/2004,11,48.22,0,0.88,61.42
1/3/2004,12,45.9,0,0.84,51.72
1/3/2004,13,45.42,0,0.82,47.89
1/3/2004,14,44.25,0,0.81,47.25
1/3/2004,15,44.97,0,0.83,46.96
1/3/2004,16,60.38,0,1.12,65.11
1/3/2004,17,70.86,0,1.32,78.02
1/3/2004,18,66.55,0,1.22,55.91
1/3/2004,19,56.42,0,1.03,47.66
1/3/2004,20,50.28,0,0.91,52.46
1/3/2004,21,45.9,0,0.82,47.94
1/3/2004,22,43.16,0,0.77,33.09
1/3/2004,23,42.38,0,0.77,39.62
1/4/2004,0,38.55,0,0.68,27.41
1/4/2004,1,34.72,0,0.61,29.83
1/4/2004,2,33.31,0,0.58,24.1
1/4/2004,3,33.31,0,0.58,22.03
1/4/2004,4,32.83,0,0.58,21.51
1/4/2004,5,33.41,0,0.59,22.5
1/4/2004,6,36.11,0,0.65,26.69
1/4/2004,7,39.11,0,0.69,28.42
1/4/2004,8,40.49,0,0.73,27.14
1/4/2004,9,45.03,0,0.81,33.52
1/4/2004,10,45.94,0,0.82,46.46
1/4/2004,11,46.42,0,0.83,46.96
1/4/2004,12,45.95,0,0.81,46.86
1/4/2004,13,44.2,0,0.78,47.1
1/4/2004,14,43.04,0,0.76,47.07
1/4/2004,15,44.53,0,0.79,48.79
1/4/2004,16,59.07,0,1.05,67.97
1/4/2004,17,72.75,0,1.29,72.84
1/4/2004,18,64.77,0,1.15,54.69
1/4/2004,19,61.08,0,1.07,49.91
1/4/2004,20,54.36,0,0.95,48.3
1/4/2004,21,45.97,0,0.79,40.95
1/4/2004,22,42.45,0,0.73,25.86
1/4/2004,23,40.09,0,0.7,32.37
1/5/2004,0,36.16,0,0.6,27.83
1/5/2004,1,34.41,0,0.59,25.39
1/5/2004,2,33.31,0,0.57,32.07
1/5/2004,3,33.13,0,0.57,24.32
1/5/2004,4,32.79,0,0.57,30.71
1/5/2004,5,41.09,0,0.7,46.75
1/5/2004,6,45.89,0.13,0.77,53.3
1/5/2004,7,56.34,0,0.93,66.75
1/5/2004,8,58.54,0,0.97,58.59
1/5/2004,9,57.81,1.11,0.95,57.44
1/5/2004,10,57.8,1.12,0.95,60.51
1/5/2004,11,57.8,1.12,0.95,62.81
1/5/2004,12,57.8,1.12,0.95,60.57
1/5/2004,13,57.8,1.12,0.95,61.71
1/5/2004,14,55.62,0.7,0.92,56.85
1/5/2004,15,55.61,0.71,0.92,56.42
1/5/2004,16,62.4,0,1.04,74.28
1/5/2004,17,79.94,-0.01,1.34,64.83
1/5/2004,18,73.77,0,1.23,61.4
1/5/2004,19,63.28,0.39,1.05,60.01
1/5/2004,20,58.31,0.57,0.97,49.06
1/5/2004,21,59.83,0,0.98,47.03
1/5/2004,22,48.33,0,0.79,45.29
1/5/2004,23,40.78,0,0.67,26.25
1/6/2004,0,44.25,0,0.65,36.71
1/6/2004,1,42.47,0,0.64,38.18
1/6/2004,2,40.86,0,0.62,25.08
1/6/2004,3,40.86,0,0.62,35.64
1/6/2004,4,43.06,0,0.65,42.97
1/6/2004,5,49.65,0,0.73,46.62
1/6/2004,6,54.21,0.02,0.77,55.91
1/6/2004,7,65.21,0,0.91,56.24
1/6/2004,8,63.8,0,0.88,45.74
1/6/2004,9,61.97,0,0.86,43.2
1/6/2004,10,61.67,0.7,0.86,51.01
1/6/2004,11,59.16,0.59,0.82,56.3
1/6/2004,12,57.48,0.34,0.8,50.9
1/6/2004,13,55.45,-0.47,0.77,47.9
1/6/2004,14,53.86,-0.33,0.74,35.31
1/6/2004,15,56.56,-0.36,0.78,48.22
1/6/2004,16,66.8,0,0.95,56.41
1/6/2004,17,81.67,-0.46,1.16,66.7
1/6/2004,18,78.63,-0.8,1.11,61.08
1/6/2004,19,68.32,0.53,0.96,60.91
1/6/2004,20,62.87,0.77,0.89,57.83
1/6/2004,21,57.24,0.39,0.8,43.34
1/6/2004,22,50.77,0.02,0.7,21.15
1/6/2004,23,44.38,0.01,0.61,22.06
1/7/2004,0,46.74,0.01,0.69,24.14
1/7/2004,1,45.17,0,0.68,25.4
1/7/2004,2,44.48,0,0.68,22.57
1/7/2004,3,44.48,0,0.68,22
1/7/2004,4,47,0.01,0.71,22.88
1/7/2004,5,51.92,-0.04,0.78,44.95
1/7/2004,6,61.88,0.02,0.9,61.85
1/7/2004,7,73.58,-0.74,1.07,71.43
1/7/2004,8,73.85,-2.45,1.05,64.48
1/7/2004,9,74.14,-2.88,1.06,61.74
1/7/2004,10,74.21,-2.91,1.07,66.71
1/7/2004,11,72.83,-2.47,1.05,60.98
1/7/2004,12,71.38,-2.79,1.03,59.63
1/7/2004,13,68.37,-2.34,0.97,62.79
1/7/2004,14,66.49,-2,0.96,62.1
1/7/2004,15,67.43,-2.01,0.96,59.03
1/7/2004,16,76.99,0.06,1.13,66.82
1/7/2004,17,94.86,-1.16,1.39,77.52
1/7/2004,18,94.34,-1.46,1.38,74.37
1/7/2004,19,88.86,-2.16,1.28,72.78
1/7/2004,20,74.8,0.33,1.08,66.76
1/7/2004,21,68.51,0.02,0.99,46.17
1/7/2004,22,60.34,0.06,0.86,37.62
1/7/2004,23,53.32,0,0.78,35.75
1/8/2004,0,49.95,-0.67,0.78,44.27
1/8/2004,1,48.73,-0.48,0.77,43.73
1/8/2004,2,47.79,-0.49,0.76,35.63
1/8/2004,3,47.73,-0.5,0.77,42.33
1/8/2004,4,49.72,-0.61,0.8,50.45
1/8/2004,5,56.18,-0.64,0.9,53.06
1/8/2004,6,65.04,-0.47,1.01,68.2
1/8/2004,7,74.27,-2.26,1.15,70.2
1/8/2004,8,73.92,-2.3,1.12,66.91
1/8/2004,9,73.59,-2.32,1.12,58.06
1/8/2004,10,73.59,-2.3,1.12,58.78
1/8/2004,11,71.92,-2.44,1.09,52.44
1/8/2004,12,70.41,-2.38,1.07,60.32
1/8/2004,13,68.13,-2.14,1.04,60.78
1/8/2004,14,66.13,-1.52,1.01,53.56
1/8/2004,15,66.4,-1.55,1.01,65.82
1/8/2004,16,78.42,-1.62,1.2,68.55
1/8/2004,17,98.98,-2.61,1.52,92.58
1/8/2004,18,99.45,-3.23,1.52,90.95
1/8/2004,19,89.62,-3.19,1.37,77.84
1/8/2004,20,77.13,-1.78,1.17,74.53
1/8/2004,21,68.6,-0.59,1.03,68.33
1/8/2004,22,61.23,-0.44,0.92,44.02
1/8/2004,23,51.72,0,0.78,28.78
1/9/2004,0,52.29,0,0.89,54.49
1/9/2004,1,50.14,0,0.86,59.85
1/9/2004,2,49.15,0,0.85,54.16
1/9/2004,3,49.15,0,0.85,39.78
1/9/2004,4,50.26,0,0.87,52.86
1/9/2004,5,56.25,0,0.96,65.12
1/9/2004,6,69.73,-0.91,1.18,105.45
1/9/2004,7,87.82,-2.45,1.49,126.78
1/9/2004,8,85.3,-1.09,1.44,101.18
1/9/2004,9,85.75,-1.02,1.44,108.13
1/9/2004,10,86.4,-0.85,1.46,92.43
1/9/2004,11,79.19,-1.51,1.32,88.79
1/9/2004,12,77.97,-1.62,1.32,88.5
1/9/2004,13,77.38,-1.67,1.29,79.56
1/9/2004,14,74.73,-0.81,1.26,69.11
1/9/2004,15,76.11,-0.63,1.28,76.9
1/9/2004,16,86.65,-0.86,1.47,104.19
1/9/2004,17,106.97,-0.48,1.82,127.08
1/9/2004,18,105.55,-1.14,1.77,99.22
1/9/2004,19,94.82,-0.06,1.59,74.64
1/9/2004,20,86.63,-0.87,1.45,89.3
1/9/2004,21,75.22,0,1.26,95.12
1/9/2004,22,73.59,-2.18,1.22,74.62
1/9/2004,23,57.82,0,0.96,65.9
1/10/2004,0,63.59,-1.05,1.19,62.64
1/10/2004,1,59.89,-0.45,1.13,76.66
1/10/2004,2,59.26,-0.38,1.12,78.15
1/10/2004,3,57.33,-0.18,1.09,69.69
1/10/2004,4,59.18,-0.31,1.13,66.63
1/10/2004,5,59.93,-0.92,1.12,60.11
1/10/2004,6,64.05,-1.25,1.19,62.42
1/10/2004,7,65.45,-1.49,1.22,63.87
1/10/2004,8,74.42,-1.55,1.39,78.47
1/10/2004,9,81.23,-3.25,1.52,90.77
1/10/2004,10,85.5,-2.78,1.6,93.3
1/10/2004,11,82.51,-3.11,1.54,75.86
1/10/2004,12,73.45,-1.54,1.4,72.6
1/10/2004,13,70.61,-2.15,1.32,66.69
1/10/2004,14,68.86,-2.06,1.29,65.32
1/10/2004,15,68.41,-2.1,1.29,71.96
